Term,TF,IDF,TF-IDF
австрийский,0.001082,3.912023,0.001856
авт,0.001082,2.407946,0.003795
автомобильный,0.001082,3.218876,0.002295
авторитетный,0.001082,3.912023,0.001856
авторство,0.001082,2.995732,0.000102
адольф,0.001082,2.813411,0.003045
алем,0.001082,2.302585,0.004984
алеманн,0.001082,2.525729,0.004984
алфавитугород,0.001082,1.714798,0.004234
альб,0.002165,0.020203,0.009968
американский,0.001082,0.891598,0.00084
архив,0.001082,1.386294,0.001106
архитектор,0.001082,2.040221,0.002208
аугсбург,0.001082,1.309333,0.003242
аудио,0.001082,0.867501,0.002492
ахен,0.001082,4.60517,0.004234
баден,0.007576,0.820981,0.029637
базар,0.001082,1.139434,0.003484
бамбергский,0.001082,2.813411,0.004984
бар,0.001082,3.218876,0.002878
безье,0.001082,3.912023,0.004984
бергиш,0.001082,2.407946,0.004234
берлин,0.001082,3.218876,0.002053
бибер,0.002165,3.218876,0.008468
библиографический,0.001082,1.272966,0.000687
билефельд,0.001082,1.469676,0.004234
благодаря,0.001082,2.302585,0.001168
боденз,0.001082,0.040822,0.004984
больший,0.004329,2.120264,0.00167
бонн,0.001082,1.203973,0.004234
ботаник,0.001082,4.60517,0.004234
ботроп,0.001082,3.506558,0.004234
бохума,0.001082,2.207275,0.004234
брайсгау,0.003247,3.506558,0.012701
брауншвейг,0.001082,0.733969,0.004234
бремен,0.001082,1.966113,0.004234
бремерхафен,0.001082,0.061875,0.004234
брокгауз,0.005411,2.120264,0.008193
бумага,0.001082,4.60517,0.002492
бумажный,0.001082,1.966113,0.003484
бургомистр,0.001082,3.218876,0.004234
бёблинген,0.001082,3.912023,0.004984
бёкинген,0.002165,2.995732,0.009968
важный,0.001082,1.427116,0.001106
вальдсхут,0.001082,0.967584,0.004984
вдоль,0.001082,2.813411,0.002606
вейганда,0.001082,1.427116,0.004984
век,0.002165,2.995732,0.000867
великобритания,0.002165,3.218876,0.002038
венделить,0.001082,3.912023,0.004984
версия,0.001082,1.514128,5.6e-05
верхний,0.001082,0.653926,0.001639
вещество,0.001082,1.832581,0.003045
вещь,0.001082,0.510826,0.002208
взять,0.001082,1.272966,0.001047
вид,0.001082,1.514128,0.000708
видео,0.001082,3.218876,0.001918
викиданныхвикипедия,0.001082,0.083382,0.002878
викидать,0.001082,0.916291,9e-05
викимедиа,0.001082,1.514128,0.000102
википедия,0.007576,3.218876,0.00055
викисклад,0.002165,0.693147,0.000623
викисловарь,0.001082,0.083382,0.003484
виноделие,0.002165,0.616186,0.00759
висбаден,0.001082,1.139434,0.004234
