Term,TF,IDF,TF-IDF
август,0.00239,3.218876,0.000957
австралийский,0.000797,2.302585,0.001512
авторство,0.000797,1.514128,7.5e-05
актуально,0.000797,1.89712,0.002794
александр,0.000797,3.912023,0.000814
алфавит,0.000797,3.506558,0.001626
американский,0.000797,4.60517,0.000619
аналогичный,0.000797,1.966113,0.001282
англ,0.016733,2.407946,0.007731
апрель,0.016733,1.771957,0.005266
аравийский,0.000797,3.506558,0.002794
аратинг,0.001594,3.506558,0.007339
ареал,0.000797,1.660731,0.002565
архив,0.000797,2.302585,0.000814
архивировать,0.014343,1.171183,0.004126
архипелаг,0.000797,2.120264,0.002565
белка,0.000797,4.60517,0.003669
белок,0.001594,2.995732,0.006234
бескилевой,0.001594,1.832581,0.006234
беспощадно,0.000797,2.207275,0.003669
бета,0.000797,1.609438,0.002119
биолог,0.001594,3.506558,0.004774
биологический,0.00239,1.832581,0.007161
близкий,0.005578,2.120264,0.007732
болезнь,0.001594,0.094311,0.003518
боль,0.000797,3.218876,0.002794
большинство,0.001594,1.966113,0.001382
большой,0.003187,2.407946,0.001905
браконьерство,0.000797,1.966113,0.003117
браться,0.000797,2.525729,0.002387
брахилофозавр,0.000797,1.832581,0.003669
будущее,0.001594,1.660731,0.001973
бурчеллов,0.000797,1.89712,0.003669
бык,0.000797,3.912023,0.002565
быть,0.001594,2.995732,0.001237
важный,0.001594,0.941609,0.001628
ввести,0.000797,0.020203,0.000691
вдоль,0.000797,1.309333,0.001919
век,0.00239,0.072571,0.000957
вероятный,0.000797,1.272966,0.002119
версия,0.000797,4.60517,4.1e-05
весиля,0.000797,1.966113,0.003669
весь,0.000797,0.867501,0.00042
взять,0.000797,3.506558,0.000771
вид,0.023108,3.218876,0.015111
викидать,0.000797,1.514128,6.6e-05
викимедиа,0.000797,2.995732,7.5e-05
википедия,0.003187,2.995732,0.000231
висконсин,0.000797,1.386294,0.003117
включать,0.000797,1.514128,0.000883
вначале,0.000797,4.60517,0.003117
внедрить,0.000797,3.218876,0.003117
внешний,0.000797,1.514128,0.000319
возможно,0.00239,1.966113,0.003314
возможность,0.00239,0.776529,0.001963
возможный,0.000797,2.813411,0.00086
возраст,0.001594,2.207275,0.002733
волк,0.000797,2.120264,0.002565
волшебный,0.000797,4.60517,0.000602
воскресить,0.000797,2.995732,0.002794
воскреш,0.000797,0.544727,0.003669
воскрешение,0.009562,3.218876,0.033529
воссозд,0.000797,4.60517,0.003669
воссоздание,0.003984,3.218876,0.015586
