Term,TF,IDF,TF-IDF
абишир,0.00112,2.995732,0.005157
авак,0.00112,2.040221,0.005157
автореф,0.00112,4.60517,0.005157
авторитетный,0.00112,2.813411,0.00192
авторство,0.00112,1.469676,0.000106
агавотагуэрра,0.00112,1.309333,0.005157
агуано,0.00112,2.407946,0.005157
азия,0.00112,0.174353,0.001552
айкан,0.00112,0.527633,0.005157
аймар,0.00112,1.966113,0.005157
аймаранский,0.00112,4.60517,0.005157
аймор,0.00112,2.120264,0.005157
акр,0.00112,1.89712,0.003355
аксанас,0.00112,3.506558,0.005157
алакалуф,0.00112,2.302585,0.005157
алакалуфский,0.00112,0.562119,0.005157
амазония,0.008959,1.108663,0.041256
амаракаэри,0.00112,2.120264,0.005157
америка,0.008959,2.995732,0.010208
американский,0.00112,1.108663,0.00087
америкискрыть,0.00112,4.60517,0.005157
амикоана,0.00112,1.714798,0.005157
ананая,0.00112,1.832581,0.005157
английский,0.00112,1.514128,0.001054
андаки,0.00112,2.995732,0.005157
андок,0.00112,2.120264,0.005157
анды,0.00224,2.525729,0.008762
ансерма,0.00112,0.061875,0.005157
аравакский,0.00112,1.832581,0.005157
араванский,0.00112,2.995732,0.005157
арара,0.00112,2.995732,0.005157
арауканский,0.00112,0.248461,0.005157
аргентина,0.003359,2.65926,0.006373
арутаня,0.00112,2.813411,0.005157
атакама,0.00112,0.733969,0.005157
африка,0.00112,1.771957,0.001696
барбакоанский,0.00112,1.07881,0.005157
баэнана,0.00112,2.120264,0.005157
бени,0.00112,3.506558,0.005157
бета,0.00112,2.120264,0.002978
боливия,0.005599,2.525729,0.016773
бор,0.00112,2.302585,0.005157
боранский,0.00112,2.120264,0.005157
борор,0.00112,1.89712,0.005157
ботокудский,0.00112,0.051293,0.005157
бразилия,0.007839,0.18633,0.018049
буруэ,0.00112,3.912023,0.005157
вамо,0.00112,0.776529,0.005157
вамоэ,0.00112,1.427116,0.005157
варао,0.00112,0.040822,0.005157
варау,0.00112,1.966113,0.005157
вахивый,0.00112,0.400478,0.005157
вачипаэри,0.00112,1.560648,0.005157
век,0.00112,0.867501,0.000448
венесуэла,0.00224,1.89712,0.005157
версия,0.005599,2.302585,0.000287
ветвь,0.00224,4.60517,0.004944
видавець,0.00112,1.966113,0.004381
викидать,0.00112,3.218876,9.3e-05
викимедиа,0.00112,0.040822,0.000106
википедия,0.005599,2.040221,0.000406
викисклад,0.00112,0.820981,0.000322
вилела,0.00112,1.832581,0.005157
внутри,0.00112,1.771957,0.001802
волшебный,0.00112,3.218876,0.000845
восток,0.003359,0.072571,0.003725
восточный,0.004479,0.094311,0.003288
впервые,0.00112,0.916291,0.00087
выделяться,0.00112,0.544727,0.002828
вымереть,0.003359,2.120264,0.010814
гайана,0.00112,3.218876,0.003927
