Term,TF,IDF,TF-IDF
август,0.003181,1.714798,0.001274
августаумереть,0.000398,2.207275,0.001831
автобиография,0.000398,0.967584,0.001831
автограф,0.001193,1.714798,0.003013
автор,0.000398,0.094311,0.000355
авторитетный,0.000795,1.07881,0.001364
авторство,0.000398,1.07881,3.7e-05
адам,0.000795,2.407946,0.001686
адаптация,0.000795,1.427116,0.002789
адольф,0.000398,0.755023,0.001119
аист,0.000398,0.083382,0.001831
академия,0.001193,3.506558,0.002186
акт,0.000398,2.525729,0.000705
активно,0.000398,1.560648,0.000536
алфавитувикипедия,0.000398,2.207275,0.00066
алфавитудетский,0.000795,0.446287,0.003662
алфавитуписатель,0.000398,0.776529,0.001831
алфавитупоэта,0.000398,1.427116,0.001831
альберт,0.000398,4.60517,0.001004
альбом,0.000398,2.813411,0.000957
альбрехт,0.000398,4.60517,0.001555
амагера,0.000398,1.309333,0.001831
ангел,0.000795,0.71335,0.00256
англ,0.002783,1.771957,0.001286
андерс,0.000795,2.813411,0.003662
андерсен,0.026243,3.218876,0.092021
андерсенафильм,0.000398,3.912023,0.001831
андерсенаэтота,0.000398,3.912023,0.001831
андерсенград,0.000398,0.094311,0.001831
андерсендат,0.000398,0.820981,0.001831
андерсенсборник,0.000398,0.71335,0.001831
андерсенскрыть,0.000398,3.506558,0.001831
андреас,0.000398,1.049822,0.001555
аниме,0.000398,0.967584,0.001004
анкеровский,0.000398,0.798508,0.001831
анкетирование,0.000398,3.912023,0.001394
анна,0.000398,2.407946,0.000705
анне,0.000398,3.912023,0.001555
апрель,0.003181,0.916291,0.001001
апреляродившийся,0.000398,1.171183,0.001555
ариэль,0.000398,3.912023,0.001831
армянский,0.000398,1.832581,0.000705
архив,0.00159,2.207275,0.001625
архивировать,0.003976,1.203973,0.001144
архивный,0.001193,3.912023,0.00065
ассистенс,0.000795,3.218876,0.003662
астероид,0.000398,1.560648,0.00128
астрофизический,0.000398,3.218876,0.001831
аудио,0.000398,0.579818,0.000916
бабушка,0.000398,2.407946,0.001555
баггести,0.000398,0.040822,0.001831
баккехусать,0.000398,3.912023,0.001831
бал,0.000398,4.60517,0.001831
балет,0.000398,0.755023,0.00128
балетмейстер,0.000398,3.912023,0.00128
баренцена,0.000398,4.60517,0.001831
баронесса,0.000398,2.302585,0.00128
башмак,0.000795,4.60517,0.003662
башмачник,0.000398,1.89712,0.001831
бедный,0.001193,0.820981,0.002747
белоруссия,0.000795,4.60517,0.001409
белый,0.000398,1.237874,0.000466
бендз,0.000398,2.302585,0.001831
берглумский,0.000398,3.912023,0.001831
бернхард,0.000398,3.506558,0.001831
бертель,0.000398,2.65926,0.001831
бесконечный,0.000398,4.60517,0.001394
библиографический,0.000398,3.506558,0.000252
библиография,0.00159,3.218876,0.005119
библиотека,0.000398,2.813411,0.000506
биндесбёль,0.000398,1.386294,0.001831
биография,0.000795,1.237874,0.001457
биссный,0.000398,3.218876,0.001831
блоха,0.000795,1.07881,0.00256
блуждать,0.000398,1.832581,0.001831
блунк,0.000398,2.525729,0.001831
бог,0.000398,0.030459,0.000811
богадельня,0.000398,1.427116,0.001831
болезненно,0.000398,1.171183,0.001555
болотный,0.000398,4.60517,0.001831
болтовня,0.000398,2.207275,0.001831
боль,0.000398,2.040221,0.001394
больший,0.002783,0.562119,0.001073
большой,0.00159,1.714798,0.000951
бора,0.000398,3.506558,0.001394
борисов,0.000398,2.525729,0.001394
бояться,0.000795,3.912023,0.002009
брат,0.001193,0.673345,0.001806
братислава,0.000795,2.040221,0.003662
брауд,0.000398,3.218876,0.001831
брокгауз,0.001193,3.912023,0.001806
бронзовый,0.000398,3.912023,0.001191
бруно,0.000795,1.108663,0.002789
бузинный,0.000398,1.514128,0.001831
букварь,0.000398,0.755023,0.001831
бурнонвиль,0.000795,0.051293,0.003662
буря,0.000398,3.218876,0.001191
бутылочный,0.000795,1.07881,0.003662
быль,0.000398,1.89712,0.001831
бюст,0.000398,0.634878,0.001394
бёдтхер,0.000398,0.941609,0.001831
ваге,0.000398,4.60517,0.001831
вал,0.000398,1.171183,0.001394
валентин,0.000398,1.386294,0.001191
вальдемар,0.000398,2.040221,0.001831
васильев,0.000398,0.223144,0.000916
везде,0.000398,1.108663,0.00128
вейс,0.000398,1.660731,0.001831
век,0.00159,2.995732,0.000637
векакомандор,0.000398,4.60517,0.001831
векамемуарист,0.000398,4.60517,0.001831
векаписатель,0.000398,2.525729,0.001831
векапоэт,0.000398,1.89712,0.001831
великий,0.000398,4.60517,0.000406
вено,0.000398,1.108663,0.001555
вернуться,0.000398,1.832581,0.00064
версия,0.001193,2.302585,6.1e-05
верёвка,0.000398,2.65926,0.001831
весь,0.00159,1.832581,0.000839
весёлый,0.000398,1.272966,0.001394
ветер,0.000398,1.771957,0.000843
ветряный,0.000398,1.966113,0.001831
взаимоотношение,0.000398,2.65926,0.000916
взрослый,0.000795,2.040221,0.002115
вид,0.000795,4.60517,0.00052
видео,0.000398,2.207275,0.000705
видеть,0.000795,2.207275,0.001457
видора,0.000398,1.514128,0.001831
викиданныхстраница,0.000398,4.60517,0.001831
викидать,0.000795,2.813411,6.6e-05
викимедиа,0.000398,1.714798,3.7e-05
википедия,0.00159,2.995732,0.000115
викисклад,0.001193,2.302585,0.000343
викитека,0.000398,4.60517,0.000811
викитекемедиафайл,0.000398,2.995732,0.000878
викитекустатья,0.000398,4.60517,0.001394
викицитатник,0.000398,0.127833,0.001191
викицитатникетекст,0.000398,0.693147,0.001831
викицитатникстатья,0.000398,2.65926,0.001004
вильгельм,0.001988,0.616186,0.005021
вильхельма,0.000795,1.660731,0.003111
виндж,0.000398,1.966113,0.001555
винтёр,0.000398,2.302585,0.001831
вишневский,0.000398,1.609438,0.001831
включение,0.000398,1.660731,0.000811
внешний,0.000398,3.506558,0.000159
внешность,0.000398,1.272966,0.001555
вода,0.000795,0.820981,0.001169
возвращение,0.000398,2.995732,0.000621
возить,0.000398,3.912023,0.001831
возможность,0.000398,2.995732,0.000326
возраст,0.000795,1.771957,0.001364
вокальный,0.000398,2.525729,0.001831
волшебник,0.000398,1.609438,0.001831
волшебный,0.001193,2.995732,0.000901
ворота,0.000398,1.203973,0.000957
воротничок,0.000398,0.083382,0.001831
восприимчивый,0.000398,2.813411,0.001831
восточный,0.000398,1.309333,0.000292
впоследствии,0.000398,3.506558,0.00064
время,0.001193,1.966113,0.00018
вручение,0.000398,1.832581,0.001004
всемирно,0.000398,0.18633,0.001394
всемирный,0.000398,2.813411,0.000506
вскоре,0.000398,2.407946,0.00064
вспоминать,0.000398,1.427116,0.001831
встречзаведение,0.000398,1.660731,0.001831
всяк,0.000398,1.469676,0.001831
всё,0.000398,4.60517,0.000165
вторичный,0.000398,1.660731,0.000957
второй,0.000398,0.597837,0.000159
второстепенный,0.000398,1.049822,0.001119
входить,0.000398,0.891598,0.000395
вывеска,0.000398,0.072571,0.001555
вывозиться,0.000398,1.89712,0.001555
выполнить,0.000398,1.609438,0.000729
выпустить,0.001193,3.218876,0.001862
выражение,0.000795,3.506558,0.00128
высокий,0.000795,2.65926,0.000551
выставка,0.000398,2.407946,0.000754
выходить,0.000398,3.506558,0.000567
гавань,0.000398,0.941609,0.001004
гад,0.000398,0.051293,0.001831
гадкий,0.003579,1.966113,0.01648
ганзный,0.000398,3.218876,0.001831
ганс,0.002783,2.525729,0.012818
гвардия,0.000398,2.040221,0.000754
генеалогия,0.000398,4.60517,0.00128
гений,0.000398,3.506558,0.001555
генрик,0.000398,2.995732,0.001394
генрих,0.000398,3.218876,0.000843
география,0.000398,2.302585,0.00064
георг,0.000398,1.386294,0.001119
герман,0.000795,2.65926,0.001755
герой,0.000795,4.60517,0.001071
гертнер,0.000398,3.912023,0.001831
герц,0.000398,2.813411,0.001057
главный,0.000795,1.832581,0.000584
глен,0.000398,2.120264,0.001555
гнездо,0.000398,1.021651,0.001057
говорить,0.000398,2.813411,0.000551
год,0.01829,2.040221,0.00037
годавикипедия,0.000398,1.560648,0.000782
годувыпускник,0.000398,0.061875,0.001831
годуумерший,0.000398,1.427116,0.001119
гомера,0.000398,3.506558,0.001555
гора,0.000398,3.506558,0.00066
горлышко,0.000795,2.120264,0.003662
город,0.001193,0.798508,0.00065
городок,0.000398,2.813411,0.001119
горошина,0.001988,1.07881,0.009155
господин,0.000398,4.60517,0.001191
готлоб,0.000398,0.030459,0.001831
готтлиб,0.000398,2.207275,0.001555
гражданство,0.000398,1.347074,0.000957
грета,0.000398,3.912023,0.001831
гречиха,0.000398,0.693147,0.001831
григ,0.000398,3.912023,0.001831
грундтвиг,0.000398,1.469676,0.001831
грёза,0.000398,4.60517,0.001831
грёнбек,0.000398,0.84397,0.001831
гурлитта,0.000398,0.061875,0.001831
густав,0.000795,0.597837,0.002382
гутенберг,0.000398,0.84397,0.001555
даль,0.000398,2.040221,0.00128
дама,0.000398,2.65926,0.001555
даниидатский,0.000398,3.218876,0.001831
даниидетский,0.000398,1.560648,0.001831
даниипоэт,0.000398,1.89712,0.001831
данииэпистолограф,0.000398,3.218876,0.001831
данииэссеист,0.000398,3.218876,0.001831
дания,0.003976,2.040221,0.008776
данкварта,0.000398,3.506558,0.001831
дата,0.006362,0.020203,0.000813
датский,0.002783,0.693147,0.00326
датско,0.000795,1.609438,0.00256
датчанин,0.000398,0.494296,0.001831
дать,0.000398,1.832581,0.000217
два,0.00159,0.867501,0.00076
двенадцать,0.000398,1.560648,0.000843
двор,0.000398,0.653926,0.000811
дворовый,0.000398,1.771957,0.001831
двухсотлетие,0.000398,3.912023,0.001831
дева,0.000795,4.60517,0.002789
девица,0.000398,1.237874,0.001555
девочка,0.002783,1.89712,0.010888
действовать,0.000398,2.302585,2e-05
декабрь,0.003181,0.776529,0.00079
делать,0.000398,2.040221,0.000385
дело,0.000398,1.771957,0.000292
день,0.003579,0.755023,0.001029
детлеф,0.000398,3.218876,0.001831
детский,0.002783,4.60517,0.004932
деятельность,0.000398,3.218876,0.000395
дженни,0.000398,1.386294,0.001831
джоан,0.000398,1.660731,0.001119
диа,0.000398,0.083382,0.001831
диафильм,0.001193,2.813411,0.005493
дикий,0.00159,2.207275,0.004475
директор,0.000398,1.660731,0.00066
дитлеть,0.000398,4.60517,0.001831
длинный,0.000398,2.120264,0.000782
дневник,0.000398,3.506558,0.001119
дневный,0.000398,1.660731,0.000957
добавить,0.000398,2.302585,0.000536
добродетель,0.000398,3.218876,0.001831
добрый,0.000398,3.912023,0.000843
документ,0.000398,1.771957,0.000441
должный,0.001193,2.813411,0.00059
дом,0.001988,1.139434,0.001822
домовой,0.001988,1.309333,0.009155
домой,0.000398,2.302585,0.00128
доп,0.000398,3.218876,0.000567
дополнительный,0.000398,1.832581,3.3e-05
дополнить,0.000398,4.60517,0.000957
дорожный,0.000398,0.733969,0.001394
доступный,0.000398,2.65926,2e-05
